RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/14,2/28/21,3/31/21,Bdrm,CAGR,Lat,Lng
96059,Zip,CA,CA,Manton,Red Bluff,Tehama County,132318.0,159176,159772,1,20.748499826176335,40.4350199,-121.8289745
94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1090548.0,1328467,1317684,2,20.827693966702977,37.7929789,-122.4212424
94025,Zip,CA,CA,Menlo Park,San Francisco-Oakland-Hayward,San Mateo County,896667.0,1094344,1086642,1,21.18679509784569,33.9012386,-117.3910247
96146,Zip,CA,CA,Tahoe City,Sacramento--Roseville--Arden-Arcade,Placer County,344296.0,413323,418124,1,21.443176801356973,38.576092,-120.5509358
94021,Zip,CA,CA,Pescadero,San Francisco-Oakland-Hayward,San Mateo County,753528.0,919128,916028,2,21.565223853659056,37.2704205,-122.2767313
92612,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,577584.0,699514,703141,2,21.738309925482703,33.7857455,-117.2911248
92620,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,764961.0,926606,931358,3,21.752350773438124,33.7073908,-117.7666567
93117,Zip,CA,CA,Goleta,Santa Maria-Santa Barbara,Santa Barbara County,371804.0,442415,453141,1,21.876311174704952,34.4301656,-119.8696691
93110,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,598657.0,724859,729886,2,21.92056553251695,34.5084312,-119.7310213
91917,Zip,CA,CA,Dulzura,San Diego-Carlsbad,San Diego County,382190.0,459901,466419,1,22.03851487480049,32.6136117,-116.7378585
92694,Zip,CA,CA,Ladera Ranch,Los Angeles-Long Beach-Anaheim,Orange County,525575.0,635813,641491,2,22.055082528659085,33.5507512,-117.6411674
94131,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,606813.0,742962,741126,1,22.134166538950222,37.7401042,-122.4382307
94972,Zip,CA,CA,Sebastopol,Santa Rosa,Sonoma County,733673.0,891398,896168,2,22.148150470304888,38.2971176,-122.9550349
92604,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,505992.0,616732,618441,2,22.22347388891524,33.6913751,-117.7901088
95045,Zip,CA,CA,San Juan Bautista,San Jose-Sunnyvale-Santa Clara,San Benito County,430212.0,527465,526093,1,22.28691900737311,36.8322484,-121.5141615
93426,Zip,CA,CA,Bradley,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,306063.0,375470,374671,1,22.4162999121096,35.8425661,-120.9417368
95420,Zip,CA,CA,Caspar,Ukiah,Mendocino County,521266.0,630318,638279,2,22.447848123606757,39.338086,-123.7350084
94104,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1342849.0,1662124,1644853,2,22.489795948762666,37.4121145,-121.0220422
92253,Zip,CA,CA,La Quinta,Riverside-San Bernardino-Ontario,Riverside County,316889.0,381648,388565,2,22.618645645636168,33.6562975,-116.2895173
92660,Zip,CA,CA,Newport Beach,Los Angeles-Long Beach-Anaheim,Orange County,525790.0,643735,645036,1,22.679396717320603,33.6301328,-117.8721676
93955,Zip,CA,CA,Seaside,Salinas,Monterey County,423368.0,513109,519449,1,22.694440770204643,32.8932137,-117.0676398
95043,Zip,CA,CA,Paicines,San Jose-Sunnyvale-Santa Clara,San Benito County,546547.0,678257,670667,2,22.709849290179985,36.5501406,-120.9417368
94117,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,723786.0,887417,889024,1,22.829676175002003,34.275113,-118.7095413
95014,Zip,CA,CA,Cupertino,San Jose-Sunnyvale-Santa Clara,Santa Clara County,712489.0,889175,875229,1,22.8410543882081,37.31317,-122.0723816
92694,Zip,CA,CA,Ladera Ranch,Los Angeles-Long Beach-Anaheim,Orange County,365489.0,446617,449020,1,22.854586594945403,33.5507512,-117.6411674
92614,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,682482.0,836220,838641,3,22.88104301651912,33.6832497,-117.8340735
90028,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,827611.0,1034811,1017160,2,22.90315135975718,34.1012181,-118.325739
91789,Zip,CA,CA,Walnut,Los Angeles-Long Beach-Anaheim,Los Angeles County,613144.0,750753,753996,3,22.972091384731808,37.8189573,-120.8498944
92203,Zip,CA,CA,Indio,Riverside-San Bernardino-Ontario,Riverside County,285610.0,347394,351303,2,23.000945345050944,33.745603,-116.1713917
94595,Zip,CA,CA,Walnut Creek,San Francisco-Oakland-Hayward,Contra Costa County,959469.0,1177687,1181544,3,23.14561491825166,37.8655663,-122.0666997
95141,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1195140.0,1481934,1472493,3,23.206737286008334,37.1676857,-121.7708337
95412,Zip,CA,CA,Annapolis,Santa Rosa,Sonoma County,772083.0,935029,951287,3,23.210457942993177,38.7138916,-123.3261671
92806,Zip,CA,CA,Anaheim,Los Angeles-Long Beach-Anaheim,Orange County,520424.0,646446,641390,1,23.24373971992068,33.8362104,-117.8721676
94104,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,760800.0,937399,937840,1,23.27024185068349,37.7911148,-122.4021273
92606,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,667217.0,819143,822888,3,23.331389937606506,33.878638,-117.226457
92270,Zip,CA,CA,Rancho Mirage,Riverside-San Bernardino-Ontario,Riverside County,489573.0,593389,603929,3,23.358314286122805,33.7694489,-116.431192
92612,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,386200.0,473550,476437,1,23.36535473847747,34.1366259,-118.3987842
92004,Zip,CA,CA,Borrego Springs,San Diego-Carlsbad,San Diego County,219964.0,267905,271740,3,23.538397192267826,33.2566501,-116.3749797
94115,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,741902.0,920961,916851,1,23.581146836105038,37.7877522,-122.4382307
96080,Zip,CA,CA,Red Bluff,Red Bluff,Tehama County,137615.0,168475,170091,2,23.599171601932927,38.3986068,-122.7520139
92211,Zip,CA,CA,Palm Desert,Riverside-San Bernardino-Ontario,Riverside County,379871.0,462497,469650,3,23.634075778356337,34.4854334,-117.4203974
90017,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,547500.0,682577,677198,1,23.689132420091326,34.0543797,-118.2672801
92657,Zip,CA,CA,Newport Beach,Los Angeles-Long Beach-Anaheim,Orange County,1664110.0,2051387,2060752,3,23.835083017348612,33.5974299,-117.8370041
90704,Zip,CA,CA,Avalon,Los Angeles-Long Beach-Anaheim,Los Angeles County,546225.0,672787,676621,2,23.872213831296627,33.36146310000001,-118.4396756
95415,Zip,CA,CA,Boonville,Ukiah,Mendocino County,387176.0,476738,479872,2,23.94156662603054,39.022009,-123.3822764
95428,Zip,CA,CA,Covelo,Ukiah,Mendocino County,236500.0,287267,293286,2,24.010993657505285,39.8066831,-123.213851
91362,Zip,CA,CA,Thousand Oaks,Oxnard-Thousand Oaks-Ventura,Ventura County,599561.0,733956,745426,3,24.32863378371842,38.4409697,-122.7971649
96130,Zip,CA,CA,Susanville,Susanville,Lassen County,106896.0,130951,132953,2,24.37602903756923,40.6402981,-120.6199895
92782,Zip,CA,CA,Tustin,Los Angeles-Long Beach-Anaheim,Orange County,647854.0,801121,806413,3,24.47449579689251,33.7344836,-117.7930401
93620,Zip,CA,CA,Dos Palos,Merced,Merced County,169135.0,212601,210532,1,24.475714665799508,37.0455625,-120.6429991
95450,Zip,CA,CA,Jenner,Santa Rosa,Sonoma County,617520.0,771008,770066,2,24.703005570669774,38.4542093,-123.1126559
95419,Zip,CA,CA,Occidental,Santa Rosa,Sonoma County,455715.0,568935,568550,3,24.759992539196645,38.4248846,-122.9582487
93435,Zip,CA,CA,Harmony,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,975900.0,1194091,1217546,3,24.7613484988216,35.5033829,-121.0392436
