ZipCode,County,Lat,Lng
94129,San Francisco County,37.793323,-122.4665384
92260,Riverside County,33.6917281,-116.4075854
95519,Humboldt County,40.9373196,-124.0312661
95131,Santa Clara County,37.3902956,-121.8961047
93602,Fresno County,37.0795598,-119.3947135
91101,Los Angeles County,34.1427587,-118.1386005
95437,Mendocino County,39.4513714,-123.6846987
95715,Placer County,39.2444916,-120.7005044
92861,Orange County,33.8177801,-117.8106269
90603,Los Angeles County,33.9443011,-117.9931472
91360,Ventura County,34.2024698,-118.8741429
91324,Los Angeles County,34.2413938,-118.5506158
91711,Los Angeles County,34.1707374,-117.702148
95648,Placer County,38.9052036,-121.3084088
92610,Orange County,33.6917217,-117.6610854
95618,Yolo County,38.518893,-121.6511258
93021,Ventura County,34.2942772,-118.8829816
92886,Orange County,33.9011405,-117.7959713
92672,Orange County,33.4154744,-117.5848025
92066,San Diego County,33.2248091,-116.4901981
93010,Ventura County,34.2330908,-119.0809012
91106,Los Angeles County,34.1456654,-118.1268976
93420,San Luis Obispo County,35.1777937,-120.4818446
90802,Los Angeles County,33.7415317,-118.1941785
95543,Del Norte County,41.8717464,-123.881651
90012,Los Angeles County,34.0653347,-118.243891
93101,Santa Barbara County,34.420334,-119.7107494
93003,Ventura County,34.2985355,-119.2204548
91302,Los Angeles County,34.1307949,-118.6848112
93926,Monterey County,36.5283778,-121.3884671
93033,Ventura County,34.1599885,-119.1274334
96121,Lassen County,40.17594769999999,-120.3666099
93730,Fresno County,36.9063167,-119.7599761
92653,Orange County,33.590277,-117.6962824
96068,Lassen County,41.1055174,-121.1954797
91773,Los Angeles County,34.1009953,-117.8194197
92629,Orange County,33.4699974,-117.702148
95409,Sonoma County,37.5359468,-120.8613785
93628,Fresno County,36.7708505,-118.9295737
93004,Ventura County,34.2765778,-119.1681373
92691,Orange County,33.6062809,-117.6728185
95918,Yuba County,39.2939803,-121.3312882
93727,Fresno County,36.7486376,-119.7078532
91763,San Bernardino County,34.0745742,-117.6962824
90278,Los Angeles County,33.865913,-118.3754131
95528,Humboldt County,40.4931837,-123.8913602
95697,Yolo County,38.7330062,-121.8057244
91381,Los Angeles County,33.9508728,-118.4455164
94566,Alameda County,37.6436199,-121.8676464
92630,Orange County,33.6447519,-117.6845508
90814,Los Angeles County,33.7709051,-118.1429889
94118,San Francisco County,37.7822891,-122.463708
90803,Los Angeles County,33.7523035,-118.1298234
92061,San Diego County,33.3243386,-116.9616941
94516,Contra Costa County,37.8251445,-122.1604131
95494,Mendocino County,38.9004765,-123.3261671
91905,San Diego County,32.6810703,-116.3013267
92805,Orange County,33.8276052,-117.9073244
92647,Orange County,33.7222674,-118.0010421
93405,San Luis Obispo County,35.2994482,-120.6890055
93063,Ventura County,34.275113,-118.7095413
91008,Los Angeles County,34.1624549,-117.9659037
90020,Los Angeles County,34.0655627,-118.3096648
92305,San Bernardino County,34.1752565,-116.8674757
93432,San Luis Obispo County,35.4830274,-120.4588059
90731,Los Angeles County,33.7241323,-118.2643567
91006,Los Angeles County,34.1172361,-118.0244639
95482,Mendocino County,39.14119700000001,-123.213851
91750,Los Angeles County,33.7526686,-117.9190418
91748,Los Angeles County,33.9810337,-117.8897468
95426,Lake County,38.82142959999999,-122.7191963
90049,Los Angeles County,34.0963058,-118.4980744
95461,Lake County,38.7548746,-122.6051351
92821,Orange County,33.9316733,-117.8604472
92646,Orange County,33.6587745,-117.9659037
93651,Fresno County,34.3780816,-117.9014654
92254,Riverside County,33.5381708,-115.9822747
91708,San Bernardino County,33.9522626,-117.6493515
90703,Los Angeles County,33.8724552,-118.0595907
90024,Los Angeles County,34.0631451,-118.4367551
91780,Los Angeles County,34.0982956,-118.0595907
91740,Los Angeles County,34.1194758,-117.848726
93036,Ventura County,34.2328937,-119.179765
95623,El Dorado County,38.6100779,-120.8613785
92037,San Diego County,32.8283259,-117.255854
92688,Orange County,33.63736,-117.6082774
93035,Ventura County,34.1903021,-119.2262667
95607,Yolo County,38.7963491,-122.1064668
92091,San Diego County,33.04680030000001,-117.1911749
95454,Mendocino County,39.855248,-123.5175413
91724,Los Angeles County,34.0858034,-117.8604472
91604,Los Angeles County,34.1366259,-118.3987842
95953,Sutter County,39.269055,-121.7879244
95914,Butte County,39.417587,-121.3884671
