Zip_Code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,MsaName,Unnamed: 2,Current_Rent,rent_value_mm,rent_value_yy,Median_ROI,lat,lng
94596,"walnut creek, ca",611499.5,-0.1378,-0.3333,39.0,0.1143,0.3929,26.5,-0.036363636,-0.40449438200000004,36.0,0.125,8.0,0.0,,,12.0,2.0,,33.0,0.1,1.3571,624.2150332,-0.0044,0.0836,1014.0,-0.0015,-0.3437,857637.8386,-0.1036,-0.1069,72.0,0.1077,0.7143,0.846153846,-0.011000000000000001,0.3462,San Francisco, CA,2533.0,-0.003148367,-0.038709677,4.97,37.8824054,-122.026918
92139,"san diego, ca",599497.5,-0.0008,0.1992,13.0,-0.2353,-0.1875,38.5,0.452830189,0.452830189,20.0,-0.1667,0.25,0.0,,,0.0,,-1.0,45.0,-0.0625,0.875,374.297202,0.0424,0.0654,1564.0,-0.0524,0.0462,563809.2926,-0.0159,0.141,58.0,-0.1077,0.45,3.461538462,0.638,1.9615,San Diego, CA,2485.0,0.001612253,0.016359918,4.97,32.6858257,-117.0382158
91752,"mira loma, ca",692000.0,-0.0253,,16.0,-0.0588,,16.0,-0.135135135,-0.52238806,24.0,0.0,0.2,0.0,,,0.0,,-1.0,45.0,0.0227,0.875,279.6865312,0.068,0.2988,2666.0,0.0441,-0.0583,659488.8696,-0.1081,0.1218,61.0,0.0,-0.1408,2.8125,0.2243,2.3019,Riverside, CA,2845.0,0.006723284,0.071159639,4.93,34.0050096,-117.5378439
95621,"citrus heights, ca",420000.0,0.0,,23.0,0.0,-0.5208,14.5,1.636363636,-0.532258065,60.0,0.0,0.25,0.0,,,0.0,,-1.0,72.0,0.1077,0.1613,286.518469,0.0329,0.156,1425.0,-0.0744,0.126,404708.9015,-0.0309,0.2484,95.0,0.0795,-0.1364,3.130434783,0.3043,1.8388,Sacramento, CA,1708.0,#DIV/0!,0.070175439,4.88,38.6940006,-121.3026883
95822,"sacramento, ca",407475.0,0.1225,0.1645,24.0,0.7143,-0.3333,16.5,1.2,-0.535211268,36.0,0.0,0.5,0.0,,,4.0,,-0.5,47.0,0.0,0.0,322.10591739999995,-0.0124,0.2327,1311.0,0.1336,-0.0851,441189.7326,0.0378,0.0419,71.0,0.1639,-0.1446,1.9583333330000001,-1.3988,0.6528,Sacramento, CA,1649.0,0.005487805,0.070084361,4.86,38.5128714,-121.4970294
92126,"san diego, ca",580000.0,0.0994,-0.1104,21.0,0.0,-0.3438,24.5,0.441176471,-0.039215686,40.0,0.0,0.6667,0.0,,,4.0,,-0.6667,65.0,-0.0299,0.5476,500.3991823,0.0553,0.139,1119.0,0.0009,-0.1947,609591.0119,0.0474,0.0374,86.0,-0.0227,0.1622,3.095238095,-0.0952,1.7827,San Diego, CA,2332.0,-0.000856898,-0.003844511,4.82,32.9184763,-117.1382404
90802,"long beach, ca",515000.0,-0.0533,0.0001,78.0,-0.1034,-0.271,45.5,0.083333333,-0.201754386,60.0,0.1538,1.1429,0.0,,,16.0,-0.5,-0.5,84.0,0.0,1.4706,545.3703704,-0.0049,0.0253,932.5,-0.0271,-0.0533,554984.8928,0.0041,-0.0229,162.0,-0.0526,0.1489,1.076923077,0.1114,0.7592,Los Angeles-Long Beach-Anaheim, CA,2052.0,0.001464129,0.018867925,4.78,33.7415317,-118.1941785
94607,"oakland, ca",670000.0,0.0167,-0.0176,58.0,0.1154,1.32,35.5,-0.065789474,-0.42276422799999996,48.0,0.0909,,4.0,,,8.0,-0.5,,46.0,-0.0612,0.7692,620.3710505,0.0282,0.1466,1081.5,0.0404,-0.158,695299.0588,0.0243,-0.0767,104.0,0.0297,1.0392,0.793103448,-0.1492,-0.2469,San Francisco, CA,2664.0,-0.009297136,-0.087358684,4.77,37.8134679,-122.307917
91761,"ontario, ca",543000.0,-0.0346,0.1487,15.0,0.25,,16.5,0.9411764709999999,-0.565789474,32.0,0.3333,-0.2727,0.0,,-1.0,0.0,,-1.0,63.0,0.05,0.1455,345.5144684,0.0488,0.3552,1555.0,-0.0369,-0.1019,560449.9143,-0.0326,0.2223,78.0,0.0833,-0.3276,4.2,-0.8,3.2984,Riverside, CA,2159.0,0.008407286,0.088205645,4.77,34.0348144,-117.5848025
92883,"corona, ca",682444.0,-0.0216,0.1714,32.0,-0.0857,,25.0,1.083333333,-0.489795918,48.0,-0.0769,0.0909,0.0,,-1.0,8.0,1.0,-0.5,89.0,0.0114,0.0988,300.9281287,0.0407,0.2715,2225.5,-0.1046,-0.1148,681117.7733,-0.0549,0.0787,121.0,-0.0163,-0.4098,2.78125,0.267,2.128,Riverside, CA,2709.0,0.008938547,0.107522486,4.76,33.7407483,-117.4791295
92234,"cathedral city, ca",469000.0,0.0141,,48.0,0.0,,46.0,0.226666667,,60.0,0.1538,0.25,4.0,-0.5,0.0,4.0,-0.6667,-0.9,155.0,-0.0936,0.7416,256.2061711,0.0286,0.2282,1807.0,-0.0298,0.1245,520456.6625,-0.0354,0.4762,203.0,-0.0731,-0.1976,3.229166667,-0.3333,2.6865,Riverside, CA,1858.0,0.007592191,0.113241462,4.75,33.82632359999999,-116.4547962
91913,"chula vista, ca",646450.0,0.0008,0.1352,26.0,0.0,-0.3953,18.5,1.466666667,-0.33928571399999996,56.0,0.0769,0.5556,4.0,,,4.0,0.0,0.0,139.0,0.1681,0.6747,359.9533527,0.0091,0.2331,1820.0,0.0523,-0.0691,642890.8948,0.0231,0.1079,165.0,0.1379,0.3095,5.346153846,0.7692,3.4159,San Diego, CA,2556.0,0.005507474,0.065,4.74,32.6168755,-116.9970153
94521,"concord, ca",699499.5,0.1192,-0.0216,26.0,0.1304,-0.4091,19.5,2.0,-0.426470588,52.0,-0.1333,0.8571,0.0,,,0.0,,-1.0,73.0,0.0139,0.7805,435.7831944,0.0212,0.1557,1370.0,0.0587,-0.2441,699606.9212,0.0451,-0.0326,99.0,0.0421,0.1647,2.807692308,-0.3227,1.8759,San Francisco, CA,2761.0,0.003270349,0.054219168,4.74,37.9538109,-121.9643745
